Position statement for 93086928SCHW (Individual) on 3/11/26 22:09:18

Position Summaries
Symbol,Delta,Gamma,Theta,Vega,P/L Open,P/L Day,BP Effect
ALAB,6.00,.00,.00,.00,($164.75),($11.46),$442.08
AMAT,3.00,.00,.00,.00,$555.67,($14.31),$727.23
AMZN,13.00,.00,.00,.00,$89.63,($24.83),"$1,917.73"
ANET,36.00,.00,.00,.00,"$2,992.48",$0.00,"$3,483.40"
ARKB,67.00,.00,.00,.00,$887.31,($26.13),"$1,081.98"
ARKG,1.00,.00,.00,.00,($84.91),($0.32),$19.14
AVAV,1.00,.00,.00,.00,($45.30),($2.75),$143.49
AVGO,6.00,.00,.00,.00,$3.46,($21.42),"$1,419.60"
AZN,5.00,.00,.00,.00,$966.55,$0.00,$676.58
COLD,28.08,14.09,-.42,.81,($86.50),$2.50,$0.00
CPER,110.66,-.67,-.31,-1.12,($183.00),($4.35),"($3,600.00)"
CRWD,7.00,.00,.00,.00,"$1,183.17",($13.16),"$2,156.73"
EIX,5.00,.00,.00,.00,$48.19,$0.00,$250.35
EPAC,10.00,.00,.00,.00,($67.50),$0.00,$257.74
GEV,2.00,.00,.00,.00,$355.18,($9.30),"$1,180.20"
GLD,12.00,.00,.00,.00,"$3,549.35",($39.48),"$3,972.78"
GOOG,5.00,.00,.00,.00,($61.23),($19.60),"$1,065.75"
HAL,12.00,.00,.00,.00,$22.56,$0.00,$301.81
HLN,7.24,15.46,.09,.46,($30.00),($7.41),$0.00
HUBB,1.00,.00,.00,.00,($27.02),($0.97),$333.90
IVES,20.00,.00,.00,.00,$76.15,($2.60),$427.00
JEPQ,1.00,.00,.00,.00,$5.44,($0.37),$40.13
LLY,3.00,.00,.00,.00,"$1,403.65",($4.92),"$2,096.22"
LRCX,1.00,.00,.00,.00,($21.23),($1.93),$151.86
META,5.00,.00,.00,.00,$779.71,($24.30),"$2,275.00"
MTUM,1.00,.00,.00,.00,$87.82,($0.27),$173.96
NPPTF,600.00,.00,.00,.00,($214.97),$0.00,$0.00
NVDA,119.00,.00,.00,.00,"$19,031.37",($241.57),"$15,327.20"
OMAB,2.00,.00,.00,.00,($13.44),$0.00,$154.85
ON,25.72,3.05,-2.66,4.51,($657.35),$0.00,$207.34
PANW,48.00,.00,.00,.00,"$1,728.96",($49.92),"$5,506.70"
PLTR,22.00,.00,.00,.00,"$1,575.28",($33.22),"$2,311.39"
PLXS,4.00,.00,.00,.00,$31.48,$0.00,$546.36
QSI,70.00,.00,.00,.00,"($1,112.30)",($2.10),$0.00
SOLS,5.00,.00,.00,.00,$147.45,$0.00,$263.13
TSLA,70.00,.00,.00,.00,"$3,915.37",($186.90),"$17,016.30"
TSM,18.00,.00,.00,.00,"$3,158.13",($87.66),"$4,406.09"
VRTX,1.00,.00,.00,.00,$22.85,$0.00,$344.67
Overall Totals,1353.70,31.93,-3.29,4.66,"$39,847.71",($828.75),"$67,078.69"

Cash & Sweep Vehicle,"$2,397.19"
BP ADJUSTMENT,$0.00
OVERNIGHT FUTURES BP,"$61,403.00"
AVAILABLE DOLLARS,"$61,403.00"

Position Details
Symbol,Opra,Days,Qty,Delta,SPC,Exp,Strike,Option Type,Mark
ALAB,,,+1,1.00,,,,,122.80
ALAB,,,+3,3.00,,,,,122.80
ALAB,,,+2,2.00,,,,,122.80
AMAT,,,+1,1.00,,,,,346.30
AMAT,,,+1,1.00,,,,,346.30
AMAT,,,+1,1.00,,,,,346.30
AMZN,,,+1,1.00,,,,,210.74
AMZN,,,+1,1.00,,,,,210.74
AMZN,,,+1,1.00,,,,,210.74
AMZN,,,+1,1.00,,,,,210.74
AMZN,,,+1,1.00,,,,,210.74
AMZN,,,+1,1.00,,,,,210.74
AMZN,,,+2,2.00,,,,,210.74
AMZN,,,+4,4.00,,,,,210.74
AMZN,,,+1,1.00,,,,,210.74
ANET,,,+32,32.00,,,,,138.23
ANET,,,+2,2.00,,,,,138.23
ANET,,,+2,2.00,,,,,138.23
ARKB,,,+3,3.00,,,,,23.07
ARKB,,,+3,3.00,,,,,23.07
ARKB,,,+3,3.00,,,,,23.07
ARKB,,,+58,58.00,,,,,23.07
ARKG,,,+1,1.00,,,,,27.35
AVAV,,,+1,1.00,,,,,204.98
AVGO,,,+3,3.00,,,,,338.00
AVGO,,,+2,2.00,,,,,338.00
AVGO,,,+1,1.00,,,,,338.00
AZN,,,+5,5.00,,,,,193.31
COLD,,,0,.00,,,,,11.84
.COLD260417C12.5,COLD260417C12.5,36,+1,36.83,100,17 APR 26,12.5,C,.40
.COLD260417C15,COLD260417C15,36,-1,-8.76,100,17 APR 26,15,C,.075
CPER,,,0,.00,,,,,35.67
.CPER270115C33,CPER270115C33,309,+1,68.60,100,15 JAN 27,33,C,6.90
.CPER270115P36,CPER270115P36,309,-1,42.06,100,15 JAN 27,36,P,4.45
CRWD,,,+1,1.00,,,,,440.15
CRWD,,,+1,1.00,,,,,440.15
CRWD,,,+1,1.00,,,,,440.15
CRWD,,,+2,2.00,,,,,440.15
CRWD,,,+1,1.00,,,,,440.15
CRWD,,,+1,1.00,,,,,440.15
EIX,,,+5,5.00,,,,,71.53
EPAC,,,+10,10.00,,,,,36.82
GEV,,,+2,2.00,,,,,843.00
GLD,,,+2,2.00,,,,,472.95
GLD,,,+5,5.00,,,,,472.95
GLD,,,+5,5.00,,,,,472.95
GOOG,,,+1,1.00,,,,,304.50
GOOG,,,+1,1.00,,,,,304.50
GOOG,,,+1,1.00,,,,,304.50
GOOG,,,+2,2.00,,,,,304.50
HAL,,,+12,12.00,,,,,35.93
HLN,,,0,.00,,,,,10.00
.HLN260515C12.5,HLN260515C12.5,64,+3,23.64,100,15 MAY 26,12.5,C,.05
.HLN260515C15,HLN260515C15,64,-3,-16.40,100,15 MAY 26,15,C,.05
HUBB,,,+1,1.00,,,,,477.00
IVES,,,+10,10.00,,,,,30.50
IVES,,,+10,10.00,,,,,30.50
JEPQ,,,+1,1.00,,,,,57.33
LLY,,,+1,1.00,,,,,998.20
LLY,,,+1,1.00,,,,,998.20
LLY,,,+1,1.00,,,,,998.20
LRCX,,,+1,1.00,,,,,216.94
META,,,+1,1.00,,,,,650.00
META,,,+1,1.00,,,,,650.00
META,,,+1,1.00,,,,,650.00
META,,,+1,1.00,,,,,650.00
META,,,+1,1.00,,,,,650.00
MTUM,,,+1,1.00,,,,,248.52
NPPTF,,,+100,100.00,,,,,.5940
NPPTF,,,+100,100.00,,,,,.5940
NPPTF,,,+100,100.00,,,,,.5940
NPPTF,,,+100,100.00,,,,,.5940
NPPTF,,,+100,100.00,,,,,.5940
NPPTF,,,+100,100.00,,,,,.5940
NVDA,,,+1,1.00,,,,,184.00
NVDA,,,+1,1.00,,,,,184.00
NVDA,,,+99,99.00,,,,,184.00
NVDA,,,+5,5.00,,,,,184.00
NVDA,,,+2,2.00,,,,,184.00
NVDA,,,+3,3.00,,,,,184.00
NVDA,,,+2,2.00,,,,,184.00
NVDA,,,+3,3.00,,,,,184.00
NVDA,,,+3,3.00,,,,,184.00
OMAB,,,+2,2.00,,,,,110.61
ON,,,+5,5.00,,,,,59.24
.ON260417C70,ON260417C70,36,+3,47.59,100,17 APR 26,70,C,.70
.ON260417C75,ON260417C75,36,-3,-26.87,100,17 APR 26,75,C,.375
PANW,,,+5,5.00,,,,,163.89
PANW,,,+3,3.00,,,,,163.89
PANW,,,+2,2.00,,,,,163.89
PANW,,,+2,2.00,,,,,163.89
PANW,,,+1,1.00,,,,,163.89
PANW,,,+1,1.00,,,,,163.89
PANW,,,+1,1.00,,,,,163.89
PANW,,,+1,1.00,,,,,163.89
PANW,,,+2,2.00,,,,,163.89
PANW,,,+1,1.00,,,,,163.89
PANW,,,+1,1.00,,,,,163.89
PANW,,,+1,1.00,,,,,163.89
PANW,,,+1,1.00,,,,,163.89
PANW,,,+1,1.00,,,,,163.89
