sector,sector_id,composite_score,avg_hit_rate,avg_sharpe,observations,trend_signal,momentum_20_ic,ma_cross_50_200_ic,adx_14_ic,cto_larsson_ic,rank
Data Centers & Infrastructure,data_centers,0.43442129271561725,0.5316176384100907,0.9099823608698585,13240,GREEN,0.16862071120948577,0.5720548204452066,0.08111713562194775,0.2862859997532161,1
Agriculture,agriculture,0.43063292033762,0.5350617908879962,1.0412268121231687,13240,GREEN,0.05248470103988411,0.34416594871905803,-0.0010431510668664095,0.12058063344179035,2
Cybersecurity,cybersecurity,0.308103635250408,0.5457010435756832,0.6727413054835865,12506,GREEN,0.049797649385708964,0.312355121662628,0.07411033564423734,0.08057748971591563,3
Construction & Engineering,construction,0.2799201125826995,0.5771949872853539,0.5472404598713857,15888,GREEN,0.0632435580899806,0.3620586963232181,-0.00021584559005939475,0.055701696965456966,4
Crypto & Blockchain,crypto,0.23690337638079342,0.5707187773506037,0.4215881965852931,13902,YELLOW,0.03025696717361393,0.3694589396215991,0.030057772766921325,0.10641193375876419,5
Communications & Telecom,communications,0.2267445220410398,0.5181082931309939,0.49429150233319563,11254,YELLOW,0.1492777856630502,0.05459963549228266,0.0915684642093885,0.19458291858756382,6
SaaS / Cloud Software,saas,0.2168223009734878,0.5478458090267793,0.3895272473966277,15226,YELLOW,0.04082469826106892,0.4541138620863911,0.0004869362777058308,0.09634912015884053,7
Semiconductors,semiconductors,0.19868794741283927,0.5481070877735059,0.37662449455611713,15888,YELLOW,0.0446336836776329,0.21887963429224142,0.06007622450441514,0.11075470500107885,8
Artificial Intelligence,ai,0.18894959805170447,0.5140925869057826,0.409412295810214,15226,YELLOW,0.09664939860777903,0.11163889005464277,0.05649106042145262,0.16036056376938262,9
Nuclear Energy,nuclear,0.14741957331995434,0.5239844754364228,0.2989886159550714,12578,YELLOW,0.07424071093489705,0.18854213578104145,-0.02895867237132821,0.0905515110705402,10
Financial Services,financial,0.13308472122068563,0.47771181031044974,0.2753070783448408,15888,YELLOW,0.149656195184417,0.20241457686785141,0.0479380326514525,0.1725644251673819,11
Healthcare (Non-Biotech),healthcare,0.014764288385284628,0.49807872817254123,0.05984365325352615,15226,RED,0.01946953265358894,0.06588724672634706,-0.11055507291831791,-0.03226715968418108,12
Minerals & Mining,minerals_mining,-0.04558256483051212,0.587997280688872,-0.2226699575368513,13902,YELLOW,-0.004569257784487859,-0.1458980881535108,-0.05940284926308231,-0.02380349743820359,13
Solar Energy,solar,-0.058901857327115746,0.5172330821327019,-0.14811743929925625,12578,YELLOW,-0.03221073575943496,-0.1309140103366576,0.022480196510956417,-0.05821948300911771,14
Energy (Oil & Gas),energy,-0.10317455681985793,0.5281521765503356,-0.2661941181630336,14564,YELLOW,-0.006881970718895544,-0.23864752939821632,-0.04898706070674939,-0.012888255096110857,15
Biotechnology,biotech,-0.11248581049448594,0.5060016522555864,-0.277900282304299,15888,RED,-0.0431609708845278,-0.08386222781747081,-0.06316682768441399,-0.024915151228823127,16
REITs,reits,-0.13990374321286952,0.45805974384996484,-0.23631642294195876,13902,RED,-0.12791095137167452,0.063773144297398,-0.1738401349893367,-0.1280659607153909,17
Materials & Specialty Chemicals,materials,-0.15859013043787798,0.45820817326094565,-0.33090675773818296,15888,RED,-0.08320391505565358,-0.18366926949645684,0.13917261418252957,-0.0745585060427774,18
